Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,920.0,929.0,914.0,923.9,41.5755,1752416
2017-10-10,939.95,939.95,929.55,935.45,42.09525,3571610
2017-10-11,935.45,938.0,928.0,930.7,41.8815,2991252
2017-10-12,930.0,934.35,919.55,927.3,41.7285,5140486
2017-10-13,932.8,933.5,927.55,930.1,41.8545,3590364
2017-10-16,935.95,942.0,933.0,939.0,42.254999999999995,2879375
2017-10-17,936.8,936.8,929.5,930.5,41.872499999999995,2812551
2017-10-18,928.9,930.0,922.95,924.35,41.59575,3615926
2017-10-19,930.0,932.0,925.2,926.95,41.71275,545717
2017-10-23,930.0,942.0,928.1,939.5,42.277499999999996,4577048
2017-10-24,946.0,946.65,921.6,926.5,41.692499999999995,7264664
2017-10-25,919.0,944.7,915.25,935.3,42.088499999999996,6992067
2017-10-26,942.0,951.8,940.1,947.35,42.63075,16829629
2017-10-27,955.0,957.7,944.0,946.35,42.58575,4262478
2017-10-30,954.65,954.65,941.05,944.1,42.4845,6484163
2017-10-31,925.0,930.0,920.0,921.85,41.48325,4977494
2017-11-01,925.0,929.4,923.3,927.05,41.71725,2816567
2017-11-02,923.05,926.0,920.0,922.9,41.530499999999996,2343069
2017-11-03,917.0,929.9,916.95,926.65,41.69925,1849543
2017-11-06,923.15,935.0,922.65,928.7,41.7915,2533267
2017-11-07,926.25,960.0,925.85,955.5,42.997499999999995,6721410
2017-11-08,960.25,961.85,947.5,952.3,42.8535,2684997
2017-11-09,953.0,963.0,948.25,954.5,42.9525,2361616
2017-11-10,958.8,964.35,950.0,962.05,43.292249999999996,3294714
2017-11-13,962.05,969.4,949.35,951.95,42.83775,2510608
2017-11-14,951.95,954.85,943.25,949.1,42.7095,2866855
2017-11-15,945.15,953.5,944.5,951.8,42.830999999999996,3511758
2017-11-16,951.8,995.9,948.5,988.4,44.477999999999994,7843751
2017-11-17,985.5,985.5,965.15,970.95,43.692750000000004,4028835
2017-11-20,969.0,971.0,957.25,960.55,43.22474999999999,2830595
2017-11-21,961.3,971.5,960.05,966.25,43.481249999999996,2682328
2017-11-22,966.6,971.05,963.3,966.3,43.4835,3042460
2017-11-23,971.5,994.45,969.0,991.25,44.606249999999996,5947309
2017-11-24,990.9,1019.3,990.2,1009.55,45.42975,9309956
2017-11-27,1006.7,1006.7,993.3,998.75,44.94375,3008865
2017-11-28,994.4,999.9,981.3,984.7,44.3115,2308434
2017-11-29,987.65,991.95,980.3,982.7,44.2215,1919035
2017-11-30,989.45,989.45,968.35,976.1,43.9245,8633472
2017-12-01,979.4,983.2,957.05,958.8,43.145999999999994,2042500
2017-12-04,980.0,996.8,968.55,985.35,44.34075,8905803
2017-12-05,985.35,1003.0,979.0,984.35,44.29575,4988369
2017-12-06,985.0,994.1,984.0,990.3,44.5635,3745047
2017-12-07,989.0,1002.9,985.6,999.8,44.991,3774772
2017-12-08,1001.0,1007.0,995.0,1001.85,45.08325,2991622
2017-12-11,994.95,1006.9,993.95,1005.3,45.238499999999995,2569549
2017-12-12,1002.0,1014.0,1002.0,1010.5,45.4725,4660217
2017-12-13,1010.9,1019.0,997.65,1003.75,45.168749999999996,2681199
2017-12-14,1005.25,1015.0,999.3,1013.1,45.5895,3011786
2017-12-15,1013.0,1026.4,1011.85,1022.9,46.030499999999996,5192067
